"","site","Date_UTC","Discharge_Daily_Ave"
"260","ecgs",2021-12-16,0.304405814009463
"261","ecgs",2021-12-17,0.361039453825177
"262","ecgs",2021-12-18,0.434663185585606
"263","ecgs",2021-12-19,3.68118658802142
"264","ecgs",2021-12-20,2.58674149858274
"265","ecgs",2021-12-21,0.526692850286142
"266","ecgs",2021-12-22,1.110019340388
"267","ecgs",2021-12-23,0.54085126024007
"268","ecgs",2021-12-24,0.42192061662707
"269","ecgs",2021-12-25,0.479970097438178
"270","ecgs",2021-12-26,0.409602799967152
"271","ecgs",2021-12-27,0.372790934086938
"272","ecgs",2021-12-28,0.385108750746856
"273","ecgs",2021-12-29,0.399267160700784
"274","ecgs",2021-12-30,0.41200972965932
"275","ecgs",2021-12-31,0.45165327753032
"276","ecgs",2022-01-01,0.427583980608642
"277","ecgs",2022-01-02,2.13084069806624
"278","ecgs",2022-01-03,37.6373011805282
"279","ecgs",2022-01-04,4.42733479259345
"280","ecgs",2022-01-05,0.613059151005106
"281","ecgs",2022-01-06,0.378171129869431
"282","ecgs",2022-01-07,0.28316819907857
"283","ecgs",2022-01-08,0.153477163900585
"284","ecgs",2022-01-09,0.135637567358635
"285","ecgs",2022-01-10,7.13527228038181
"286","ecgs",2022-01-11,0.417673093640892
"287","ecgs",2022-01-12,0.177263292623185
"288","ecgs",2022-01-13,0.203881103336571
"289","ecgs",2022-01-14,0.216906840494185
"290","ecgs",2022-01-15,0.151494986507035
"291","ecgs",2022-01-16,4.92825933676344
"292","ecgs",2022-01-17,8.84617453921454
"293","ecgs",2022-01-18,3.0893650519472
"294","ecgs",2022-01-19,0.55076214720782
"295","ecgs",2022-01-20,0.825860052612649
"296","ecgs",2022-01-21,2.20871195281285
"297","ecgs",2022-01-22,0.610369053113859
"298","ecgs",2022-01-23,0.699567035823607
"299","ecgs",2022-01-24,0.415690916247342
"300","ecgs",2022-01-25,0.325643428940356
"301","ecgs",2022-01-26,0.238710791823235
"302","ecgs",2022-01-27,0.222428620376217
"303","ecgs",2022-01-28,0.197651402956842
"304","ecgs",2022-01-29,0.225401886466542
"305","ecgs",2022-01-30,0.174573194731938
"306","ecgs",2022-01-31,0.162821714470178
"307","ecgs",2022-02-01,0.158857359683078
"308","ecgs",2022-02-02,0.180661311012128
"309","ecgs",2022-02-03,0.162680130370639
"310","ecgs",2022-02-04,2.76372162300685
"311","ecgs",2022-02-05,0.638544288922179
"312","ecgs",2022-02-06,0.195669225563292
"313","ecgs",2022-02-07,3.43058273183688
"314","ecgs",2022-02-08,2.81186021685021
"315","ecgs",2022-02-09,0.453918623122949
"316","ecgs",2022-02-10,0.298742450027892
"317","ecgs",2022-02-11,0.252019697179928
"318","ecgs",2022-02-12,0.21605733589695
"319","ecgs",2022-02-13,0.184908833998306
"320","ecgs",2022-02-14,0.170608839944838
"321","ecgs",2022-02-15,0.156308845891371
"322","ecgs",2022-02-16,0.131531628471996
"323","ecgs",2022-02-17,0.143566276932836
"324","ecgs",2022-02-18,0.254851379170713
"325","ecgs",2022-02-19,0.222287036276678
"326","ecgs",2022-02-20,0.160981121176167
"327","ecgs",2022-02-21,0.129691035177985
"328","ecgs",2022-02-22,0.170608839944838
"329","ecgs",2022-02-23,1.43028257354586
"330","ecgs",2022-02-24,1.76852698734521
"331","ecgs",2022-02-25,1.87174179590935
"332","ecgs",2022-02-26,0.315732541972606
"333","ecgs",2022-02-27,0.971691675138117
"334","ecgs",2022-02-28,1.05140352317873
"335","ecgs",2022-03-01,0.264195929740306
"336","ecgs",2022-03-02,0.229366241253643
"337","ecgs",2022-03-03,0.222287036276678
"338","ecgs",2022-03-04,0.170608839944838
"339","ecgs",2022-03-05,0.157299934588146
"340","ecgs",2022-03-06,0.172874185537467
"341","ecgs",2022-03-07,0.167069237456356
"342","ecgs",2022-03-08,0.234038516538438
"343","ecgs",2022-03-09,5.02765137464002
"344","ecgs",2022-03-10,1.35920735557714
"345","ecgs",2022-03-11,0.220871195281285
"346","ecgs",2022-03-12,17.0390800431548
"347","ecgs",2022-03-13,3.03697893511767
"348","ecgs",2022-03-14,0.924544169991534
"349","ecgs",2022-03-15,0.573415603134106
"350","ecgs",2022-03-16,0.552177988203213
"351","ecgs",2022-03-17,11.060549856009
"352","ecgs",2022-03-18,3.99408744800324
"353","ecgs",2022-03-19,1.59423696081235
"354","ecgs",2022-03-20,1.02506888066442
"355","ecgs",2022-03-21,0.661197744848462
"356","ecgs",2022-03-22,0.501349296468609
"357","ecgs",2022-03-23,0.81835609533707
"358","ecgs",2022-03-24,0.985425332793423
"359","ecgs",2022-03-25,0.635712606931391
"360","ecgs",2022-03-26,0.479970097438178
"361","ecgs",2022-03-27,0.396577062809538
"362","ecgs",2022-03-28,0.373782022783713
"363","ecgs",2022-03-29,0.349854309961575
"364","ecgs",2022-03-30,0.430415662599427
"365","ecgs",2022-03-31,13.1278192933821
"366","ecgs",2022-04-01,7.15707623171089
"367","ecgs",2022-04-02,0.950029307908606
"368","ecgs",2022-04-03,0.686682882765534
"369","ecgs",2022-04-04,0.543682942230856
"370","ecgs",2022-04-05,0.65978190385307
"371","ecgs",2022-04-06,2.73682064409439
"372","ecgs",2022-04-07,0.656950221862284
"373","ecgs",2022-04-08,0.594653218064998
"374","ecgs",2022-04-09,0.518197804313784
"375","ecgs",2022-04-10,0.489880984405927
"376","ecgs",2022-04-11,0.596069059060392
"377","ecgs",2022-04-12,0.494978011989341
"378","ecgs",2022-04-13,0.487190886514681
"379","ecgs",2022-04-14,0.436079026580999
"380","ecgs",2022-04-15,0.474306733456606
"381","ecgs",2022-04-16,0.48138593843357
"382","ecgs",2022-04-17,0.489880984405927
"383","ecgs",2022-04-18,11.5192823385162
"384","ecgs",2022-04-19,4.12859234256556
"385","ecgs",2022-04-20,0.835346187281781
"386","ecgs",2022-04-21,0.536603737253892
