date,discharge.daily,lnQ.daily,lnQ.bin1,lnQ.bin2,lnQ.bin1.weight,lnQ.bin2.weight
2019-04-25,1.1221896819783734,0.11528184983369984,2,3,0.34355178423805716,0.6564482157619429
2019-04-26,NA,NA,NA,NA,NA,NA
2019-04-27,NA,NA,NA,NA,NA,NA
2019-04-28,1.059387839804385,0.057691231682560344,2,3,0.41535203828754236,0.5846479617124576
2019-04-29,1.0088864064018928,0.008847154659091215,2,3,0.47624767114729,0.52375232885271
2019-04-30,0.9727428737395634,-0.027635493035274013,2,3,0.5217318742509767,0.47826812574902333
2019-05-01,0.9384965520458571,-0.06347609686124919,2,3,0.566415618628203,0.433584381371797
2019-05-02,0.9021143525164604,-0.10301399032920305,2,3,0.615708904352805,0.384291095647195
2019-05-03,0.8782523825848985,-0.12982127496211396,2,3,0.6491304912155913,0.3508695087844087
2019-05-04,0.8726322173125888,-0.13624109791919803,2,3,0.6571343108318639,0.3428656891681361
2019-05-05,NA,NA,NA,NA,NA,NA
2019-05-06,NA,NA,NA,NA,NA,NA
2019-05-07,NA,NA,NA,NA,NA,NA
2019-05-08,NA,NA,NA,NA,NA,NA
2019-05-09,0.7393742121260659,-0.3019511098445545,2,3,0.863730824930027,0.13626917506997305
2019-05-10,0.7142802578725854,-0.33647987562877046,2,3,0.9067790545707577,0.09322094542924231
2019-05-11,0.7191034380699227,-0.3297500678116613,2,3,0.8983887659007429,0.1016112340992571
2019-05-12,0.7409673629684855,-0.29979869923298363,2,3,0.8610473387357304,0.13895266126426964
2019-05-13,0.8613546573653144,-0.14924894605112987,2,3,0.6733516536993905,0.32664834630060946
2019-05-14,0.7469821537576036,-0.29171398468677373,2,3,0.8509678400782923,0.1490321599217077
2019-05-15,0.6731665982320814,-0.3957624343074706,2,3,0.9806887105265857,0.019311289473414317
2019-05-16,0.6678483833028903,-0.40369410231078806,2,3,0.9905774006632291,0.00942259933677092
2019-05-17,0.6488880230695784,-0.43249511480755515,1,2,0.026484638344256788,0.9735153616557433
2019-05-18,0.6447631008030164,-0.4388723152289508,1,2,0.03443531894259715,0.9655646810574029
2019-05-19,0.6451742371130179,-0.43823486360732755,1,2,0.033640585532084155,0.9663594144679158
2019-05-20,0.6636090071426889,-0.41006214760743626,2,3,0.9985166672447758,0.0014833327552241649
2019-05-21,0.6953882643432515,-0.36328493567495035,2,3,0.9401978679628369,0.059802132037163114
2019-05-22,0.6997921281091785,-0.3569719478840687,2,3,0.9323272435148229,0.06767275648517712
2019-05-23,0.7184204440723765,-0.33070030461457384,2,3,0.8995734596242455,0.10042654037575449
2019-05-24,0.7306884398312589,-0.3137681209871915,2,3,0.878463509339148,0.12153649066085204
2019-05-25,0.7261750419782844,-0.3199641885651125,2,3,0.8861883652355543,0.11381163476444567
2019-05-26,0.7764222243279949,-0.2530588032541069,2,3,0.8027750625687577,0.19722493743124225
2019-05-27,0.7155039171183474,-0.3347682053418509,2,3,0.9046450548778346,0.09535494512216536
