date,discharge.daily,lnQ.daily,lnQ.bin1,lnQ.bin2,lnQ.bin1.weight,lnQ.bin2.weight
2022-02-02,0.02874157220647492,-3.5494106953572455,13,14,0.5363368373825834,0.4636631626174166
2022-02-03,0.029950936390039654,-3.5081946897995837,13,14,0.33025680959427417,0.6697431904057258
2022-02-04,0.35891274266334794,-1.0246759766849682,26,27,0.912663244021196,0.08733675597880397
2022-02-05,0.06479242355166545,-2.736566602958632,17,18,0.472116375389517,0.527883624610483
2022-02-06,0.03803007907000012,-3.269377877896086,14,15,0.1361727500767861,0.8638272499232139
2022-02-07,0.865238130297015,-0.14475051479595405,30,31,0.5130359345761268,0.48696406542387316
2022-02-08,0.1468404092346813,-1.9184089334145833,21,22,0.38132802766927176,0.6186719723307282
2022-02-09,0.09715913864009415,-2.331405040263192,19,20,0.446308561912316,0.5536914380876841
2022-02-10,0.055978813355344936,-2.8827819927732197,16,17,0.20319332446245378,0.7968066755375462
2022-02-11,0.04233364576224631,-3.1621731010083463,15,16,0.6001488656380868,0.3998511343619132
2022-02-12,0.03763777312752668,-3.2797471284081428,14,15,0.18801900263706967,0.8119809973629304
2022-02-13,0.034511124262700796,-3.366473564521076,14,15,0.6216511832017363,0.3783488167982637
2022-02-14,0.03329291107291486,-3.4024107853512975,14,15,0.8013372873528428,0.19866271264715718
2022-02-15,0.03273247401223853,-3.41938760480636,14,15,0.8862213846281556,0.11377861537184442
2022-02-16,0.028812364256244564,-3.546950669516383,13,14,0.5240367081782711,0.4759632918217289
2022-02-17,0.03108360918635393,-3.471074634537693,13,14,0.1446565332848195,0.8553434667151805
2022-02-18,0.048631188523004104,-3.023490214745745,16,17,0.9067344343250797,0.09326556567492028
2022-02-19,0.03480314146800057,-3.3580476242070043,14,15,0.5795214816313771,0.42047851836862293
2022-02-20,0.026597163032202827,-3.626950721807017,13,14,0.9240369696314422,0.07596303036855778
2022-02-21,0.016258574097094598,-4.119134872613429,10,11,0.38495772366350123,0.6150422763364988
2022-02-22,0.015645042999091023,-4.157601153441226,10,11,0.5772891278024822,0.4227108721975178
2022-02-23,0.2628449814572024,-1.336190844700158,24,25,0.470237584097148,0.529762415902852
2022-02-24,0.6133629668853668,-0.4887984026404075,28,29,0.23327537379839483,0.7667246262016052
2022-02-25,0.13910637779734783,-1.9725163306556164,21,22,0.651865013874437,0.34813498612556304
2022-02-26,0.07749369714783551,-2.5575586730547686,18,19,0.5770767258701989,0.42292327412980113
2022-02-27,0.20612875091675703,-1.5792543009762168,23,24,0.6855548654774407,0.3144451345225593
2022-02-28,0.09952772263863678,-2.3073190541410034,19,20,0.32587863130137257,0.6741213686986274
2022-03-01,0.058837042364794256,-2.832983650236359,17,18,0.9542016117781507,0.04579838822184934
2022-03-02,0.0432981874403577,-3.13964450534969,15,16,0.4875058873448064,0.5124941126551936
2022-03-03,0.031210444942191207,-3.467002466402762,13,14,0.12429569261016588,0.8757043073898341
2022-03-04,0.02746731531062135,-3.5947585153357045,13,14,0.7630759372748784,0.23692406272512156
2022-03-05,0.026139964377440553,-3.6442899335474888,12,13,0.01073302833380029,0.9892669716661997
2022-03-06,0.028352215932741887,-3.5630500884505643,13,14,0.6045338028491772,0.39546619715082276
2022-03-07,0.028366964276443894,-3.562530040594442,13,14,0.6019335635685649,0.39806643643143513
2022-03-08,0.29642401039793626,-1.2159643821003985,25,26,0.8691052710983502,0.13089472890164977
2022-03-09,1.7170611671626828,0.5406142057203389,33,34,0.08621233199466274,0.9137876680053373
2022-03-10,0.13894709568536615,-1.973662024880613,21,22,0.6575934849994197,0.3424065150005803
2022-03-11,0.07454992774491453,-2.5962862069882973,18,19,0.7707143955378425,0.2292856044621575
2022-03-12,3.4499650051300637,1.238364087551262,37,38,0.5974629228400458,0.40253707715995424
2022-03-13,0.19290243628479548,-1.6455707293689983,22,23,0.017137007441347926,0.9828629925586521
2022-03-14,0.0958937307504618,-2.3445146720089727,19,20,0.511856720641219,0.488143279358781
2022-03-15,0.07402783637786342,-2.603314089242712,18,19,0.8058538068099164,0.19414619319008364
2022-03-16,3.6662966602198703,1.2991820681892923,37,38,0.2933730196498949,0.7066269803501051
2022-03-17,4.092340913746022,1.4091171568737555,38,38,1,0
2022-03-18,NA,NA,NA,NA,NA,NA
2022-03-19,NA,NA,NA,NA,NA,NA
2022-03-20,NA,NA,NA,NA,NA,NA
2022-03-21,NA,NA,NA,NA,NA,NA
2022-03-22,NA,NA,NA,NA,NA,NA
2022-03-23,NA,NA,NA,NA,NA,NA
2022-03-24,NA,NA,NA,NA,NA,NA
2022-03-25,NA,NA,NA,NA,NA,NA
2022-03-26,NA,NA,NA,NA,NA,NA
2022-03-27,NA,NA,NA,NA,NA,NA
2022-03-28,NA,NA,NA,NA,NA,NA
2022-03-29,NA,NA,NA,NA,NA,NA
2022-03-30,NA,NA,NA,NA,NA,NA
2022-03-31,NA,NA,NA,NA,NA,NA
